Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199511","Water - Precipitation - rain","1995-11-15","1995-11-01","1995-11-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199512","Water - Precipitation - rain","1995-12-15","1995-12-01","1995-12-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199601","Water - Precipitation - rain","1996-01-15","1996-01-01","1996-01-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199602","Water - Precipitation - rain","1996-02-15","1996-02-01","1996-02-29","","-7.47","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","171.5","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199603","Water - Precipitation - rain","1996-03-15","1996-03-01","1996-03-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199604","Water - Precipitation - rain","1996-04-15","1996-04-01","1996-04-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199605","Water - Precipitation - rain","1996-05-15","1996-05-01","1996-05-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199606","Water - Precipitation - rain","1996-06-15","1996-06-01","1996-06-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199607","Water - Precipitation - rain","1996-07-15","1996-07-01","1996-07-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199608","Water - Precipitation - rain","1996-08-15","1996-08-01","1996-08-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199609","Water - Precipitation - rain","1996-09-15","1996-09-01","1996-09-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199610","Water - Precipitation - rain","1996-10-15","1996-10-01","1996-10-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199611","Water - Precipitation - rain","1996-11-15","1996-11-01","1996-11-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199612","Water - Precipitation - rain","1996-12-15","1996-12-01","1996-12-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199701","Water - Precipitation - rain","1997-01-15","1997-01-01","1997-01-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199702","Water - Precipitation - rain","1997-02-15","1997-02-01","1997-02-28","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199703","Water - Precipitation - rain","1997-03-15","1997-03-01","1997-03-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199704","Water - Precipitation - rain","1997-04-15","1997-04-01","1997-04-30","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199705","Water - Precipitation - rain","1997-05-15","1997-05-01","1997-05-31","","","","","","","","","","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199706","Water - Precipitation - rain","1997-06-15","1997-06-01","1997-06-30","","-3.4","Antarctic Climate and Ecosystems Cooperative Research Centre","","","","","","15","",""
"GNIP","GNIP/M/AU/02","MARGATE (Hobart)","AU","9497001","-42.95","147.316666666667","176","Precipitation collectors - unknown","[Reference: Treble et al. 2005]","199707","Water - Precipitation - rain","1997-07-15","1997-07-01","1997-07-31","","","","","","","","","","",""
