Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196505","Water - Precipitation - unspecified (not reported)","1965-05-15","1965-05-01","1965-05-31","","-5.33","University of Copenhagen","-31.3","University of Copenhagen","21.4","1.2","International Atomic Energy Agency","169","7.1","7.8"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196506","Water - Precipitation - unspecified (not reported)","1965-06-15","1965-06-01","1965-06-30","","-5.07","University of Copenhagen","","","29.1","1.6","International Atomic Energy Agency","346","9.6","10"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196507","Water - Precipitation - unspecified (not reported)","1965-07-15","1965-07-01","1965-07-31","","-8.03","University of Copenhagen","","","34.7","1.6","International Atomic Energy Agency","267","6.3","7.8"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196508","Water - Precipitation - unspecified (not reported)","1965-08-15","1965-08-01","1965-08-31","","-9.57","University of Copenhagen","","","42.9","7.2","International Atomic Energy Agency","100","6.6","7.6"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196509","Water - Precipitation - unspecified (not reported)","1965-09-15","1965-09-01","1965-09-30","","-7.86","University of Copenhagen","","","54.3","3.2","International Atomic Energy Agency","85","7","7.9"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196510","Water - Precipitation - unspecified (not reported)","1965-10-15","1965-10-01","1965-10-31","","","","","","35.9","1.7","International Atomic Energy Agency","155","9","9"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196511","Water - Precipitation - unspecified (not reported)","1965-11-15","1965-11-01","1965-11-30","","-3.35","University of Copenhagen","","","33.7","1.9","International Atomic Energy Agency","106","11.9","10.5"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196512","Water - Precipitation - unspecified (not reported)","1965-12-15","1965-12-01","1965-12-31","","-2.55","University of Copenhagen","","","44.9","1.9","International Atomic Energy Agency","143","11.4","10.5"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196601","Water - Precipitation - unspecified (not reported)","1966-01-15","1966-01-01","1966-01-31","","","","","","33","2","International Atomic Energy Agency","61","13.9","12.3"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196602","Water - Precipitation - unspecified (not reported)","1966-02-15","1966-02-01","1966-02-28","","","","","","","","","61","11.8","11.2"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196603","Water - Precipitation - unspecified (not reported)","1966-03-15","1966-03-01","1966-03-31","","","","","","","","","200","12.5","12.3"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196604","Water - Precipitation - unspecified (not reported)","1966-04-15","1966-04-01","1966-04-30","","","","","","","","","213","11.3","11.7"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196605","Water - Precipitation - unspecified (not reported)","1966-05-15","1966-05-01","1966-05-31","","","","","","","","","326","9.7","10.8"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196606","Water - Precipitation - unspecified (not reported)","1966-06-15","1966-06-01","1966-06-30","","","","","","","","","369","7.8","9.4"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196607","Water - Precipitation - unspecified (not reported)","1966-07-15","1966-07-01","1966-07-31","","","","","","","","","246","6.3","8.3"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196608","Water - Precipitation - unspecified (not reported)","1966-08-15","1966-08-01","1966-08-31","","","","","","","","","138","6.7","8.2"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196609","Water - Precipitation - unspecified (not reported)","1966-09-15","1966-09-01","1966-09-30","","","","","","","","","163","6.6","7.8"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196610","Water - Precipitation - unspecified (not reported)","1966-10-15","1966-10-01","1966-10-31","","","","","","","","","120","7.9","8.5"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196611","Water - Precipitation - unspecified (not reported)","1966-11-15","1966-11-01","1966-11-30","","","","","","20.5","1","International Atomic Energy Agency","98","12","11.4"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196612","Water - Precipitation - unspecified (not reported)","1966-12-15","1966-12-01","1966-12-31","","","","","","24.2","1.1","International Atomic Energy Agency","204","12.4","11.3"
"GNIP","GNIP/M/CL/01","PUERTO MONTT (LA CHAMIZA)","CL","8580100","-41.47","-72.93","13","Precipitation collectors - unknown","[Partners: Direccion Meteorologica de Chile, CCHEN]","196701","Water - Precipitation - rain","1967-01-15","1967-01-01","1967-01-31","","","","","","35.5","1.7","International Atomic Energy Agency","184","14.2","14"
